Unnamed: 0,task_name,role,goal,location,company_level,fred_category,user_intent,difficulty
2398,prepare reports to document patients' care activities.,Healthcare Provider,Document patients' care activities for reporting purposes,Hospital or Medical Facility,Specialist,Education and Health Services,"Prepare comprehensive reports detailing patient care to ensure compliance, improve patient outcomes, and support decision-making.",Moderate
2399,prepare reports to provide answers in response to specific problems.,Report Writer,Prepare reports to answer specific problems raised by stakeholders or clients.,"Office environment, potentially remote work setting.",Mid-Level,Information,The user wants to obtain comprehensive answers to specific business-related inquiries through the preparation of detailed and informative reports.,Moderate
2400,"prepare reports, deliver presentations, or participate in program review activities to communicate engineering results or recommendations.",Engineer or Technical Consultant,"Communicate engineering results or recommendations to various stakeholders through reports, presentations, and program reviews.",Office environment or as part of a project team at an office location,Specialist,Manufacturing,The user was trying to ensure effective communication of engineering results and recommendations through various forms of presentation in the workplace.,Moderate
2401,"prepare reports, exhibits and other supporting schedules that detail an institution's safety and soundness, compliance with laws and regulations, and recommended solutions to questionable financial conditions.",Financial Analyst or Compliance Officer,"Prepare detailed reports and schedules on an institution's safety, soundness, compliance with laws and regulations, and proposed solutions for financial issues.","Various locations such as banks, insurance companies, investment firms, etc.",Specialist,Financial Activities,To provide comprehensive information on the operational health and legal compliance of an institution's finances to stakeholders or regulatory bodies.,Moderate
2402,"prepare reports, including assignment of company funds or recording of department revenues.",Finance Officer or Accountant,Prepare financial reports and record company funds and department revenues accurately.,"Office environment, typically in an office building or corporate headquarters",Mid-level,Financial Activities,The user wants to ensure accurate financial reporting for the company by assigning funds and recording revenue streams.,Moderate
2403,"prepare reports, manuscripts, and meeting presentations.",Content Writer or Content Creator,"Prepare reports, manuscripts, and meeting presentations for dissemination or internal use",Office/Workplace,Mid-Level,Information,To produce high-quality written materials that support organizational goals and objectives.,Moderate
2404,"prepare reports, manuscripts, proposals, and technical manuals for use by other scientists and requestors, such as sponsors and customers.",Scientist or Technical Writer,"Prepare various types of documents such as reports, manuscripts, proposals, and technical manuals for use by other scientists and requestors like sponsors and customers.","Research laboratory, office environment, academic institution, industry setting",Specialist,Information,To produce high-quality documents that facilitate communication among peers of knowledge in their field and stakeholders such as funders or clients.,Moderate
2405,"prepare reports, sketches, working drawings, specifications, proposals, and budgets for proposed sites or systems.",Project Manager,Prepare various documents for proposed sites or systems,"Various (can be in an office, field, remote location)",Specialist,Manufacturing,To provide necessary documentation for project proposals and implementation,Moderate
2406,"prepare reports, such as organization and flow charts, and career path reports, to summarize job analysis and evaluation and compensation analysis information.",Human Resources Specialist,"Prepare various reports including organization and flow charts, career path reports to summarize job analysis and evaluation, and compensation analysis information.",Office environment where HR tasks are typically performed,Specialist,Professional Services,"The user is trying to obtain comprehensive summaries of job analysis, evaluations, and compensation analyses by preparing specific reports.",Moderate
2407,"prepare reports, using statistics, charts, and graphs, to illustrate planning studies in areas such as population, land use, or zoning.",Data Analyst or Researcher,"Prepare reports using statistics, charts, and graphs to illustrate planning studies in areas like population, land use, or zoning.",Office/Workplace,Specialist/Senior,Other,To present detailed planning study findings with visual aids for stakeholders or decision-makers.,Moderate
2408,prepare requests for proposals or statements of work.,Specialist or Project Manager,Prepare requests for proposals (RFPs) or statements of work (SOWs),"Office environment, potentially in collaboration with other departments within an organization",Mid-level,Professional Services,To secure contracts and partnerships by submitting competitive proposals to potential clients,Moderate
2409,prepare requirements documentation for use by software developers.,Software Requirements Document Writer,To prepare detailed requirements documentation for software developers to ensure clarity and accuracy in project development.,"Various locations including office environments where the task is being performed, though it may span across different departments if applicable.",Specialist,Professional Services,To provide clear and comprehensive requirements documentation to support software developers in their project work.,Moderate
2410,"prepare research results for publication in form of journals, books, manuals, and film.",Researcher or Journalist,"Prepare research results for publication in various formats such as journals, books, manuals, and films.","Various settings including libraries, offices, studios, etc.",Specialist,Information,The user wants to publish their research findings in different media types for public consumption.,Moderate
2411,prepare responses to correspondence containing routine inquiries.,Customer Service Representative,To provide prompt and informative responses to routine inquiries from customers or clients,Office,Mid-Level,Retail Trade,The user is trying to ensure that customer inquiries are answered efficiently within the retail context.,Moderate
2412,"prepare responses to customer requests for information, such as product data, written regulatory affairs statements, surveys, or questionnaires.",Customer Service Representative,"Respond to customer requests for information such as product data, regulatory affairs statements, surveys or questionnaires.","Various settings including offices, online platforms depending on the nature of communication and delivery channels.",Mid-level,Retail Trade,To gather necessary customer information for their products or services based on customer requests.,Easy
2413,prepare results of experimental findings for presentation at professional conferences or in scientific journals.,Researcher or Data Analyst,Prepare results of experimental findings for presentation at professional conferences or in scientific journals.,Office or research laboratory,Specialist,Research and Development,The user aims to present the outcomes of their experiments effectively at professional platforms for further validation and collaboration.,Moderate
2414,prepare sales contracts and order forms.,Sales Contract Specialist,Prepare sales contracts and order forms for various products or services.,"Office environment, possibly within a retail, manufacturing, or service setting",Mid-level,Wholesale Trade,The user is trying to streamline the process of creating sales contracts and order forms for their business operations.,Moderate
2415,prepare sales presentations or proposals to explain product specifications or applications.,Sales Representative,Prepare sales presentations or proposals to explain product specifications or applications.,Office environment (various industries),Specialist,Retail Trade,"To sell products or services effectively by providing clear and detailed explanations of their features, benefits, and how they can be used in specific contexts.",Moderate
2416,"prepare sample layouts for approval, using computer software.",Designer or Graphic Designer,Prepare sample layouts for approval using computer software.,"Office environment, often within a company's design department or IT division.",Specialist,Design Services,To create sample designs that can be reviewed and potentially approved by stakeholders for further use in marketing materials or presentations.,Moderate
2417,"prepare scale drawings or architectural designs, using computer-aided design or other tools.",Architectural Designer,Prepare scale drawings or architectural designs using computer-aided design tools.,Office environment with access to computer and CAD software.,Specialist,Manufacturing,To create detailed architectural plans for construction projects using advanced design software.,Moderate
2418,"prepare scientific atmospheric or climate reports, articles, or texts.",Scientific Writer/Reporter,"Prepare scientific atmospheric or climate reports, articles, or texts","Diverse (e.g., office, remote)",Specialist,Information,To produce high-quality scientific content related to atmospheric and climate studies for various audiences.,Moderate
2419,prepare settlement agreements for disputants to sign.,Legal Assistant,Prepare settlement agreements for disputants to sign.,Office,Specialist,Financial Activities,To facilitate the signing of a settlement agreement between disputing parties in a professional setting.,Moderate
2420,"prepare shipping documentation, such as including bills of lading, packing lists, dock receipts, or certificates of origin.",Supply Chain Manager or Documentation Coordinator,Prepare various documents related to logistics and import/export activities.,"Logistics department of a manufacturing, trading, or supply chain company",Mid-level,Manufacturing,"To ensure all necessary documentation is ready for international shipping processes including bills of lading, packing lists, dock receipts, and certificates of origin.",Moderate
2421,"prepare site plans, specifications, or cost estimates for land development.",Land Development Specialist,"Prepare site plans, specifications, or cost estimates for land development projects","Office environment, often with field visits to the project site",Mid-level,Construction,To provide necessary documentation and planning for a successful land development project,Moderate
2422,"prepare solar installation project proposals, quotes, budgets, or schedules.",Solar Installation Specialist,"Prepare project proposals, quotes, budgets, or schedules for solar installations.",Various client sites and offices (dependent on the specific installation location),Mid-Level,Construction,The user is seeking to present cost-effective and feasible options for installing solar panels in potential customer locations.,Moderate
2423,"prepare specialty foods such as pizzas, fish and chips, sandwiches, and tacos, following specific methods that usually require short preparation time.",Food Service Worker,"Prepare specialty foods such as pizzas, fish and chips, sandwiches, and tacos following specific methods that usually require short preparation time.",Restaurant or Food Service Establishment,Specialist,Retail Trade,To prepare various specialty dishes quickly in a food service setting for customers to consume on-site or take away.,Easy
2424,"prepare specifications, designs, or sketches for machines, components, or systems related to the generation, transmission, or use of mechanical or fluid energy.",Engineer,"Prepare specifications, designs, or sketches for machines, components, or systems related to the generation, transmission, or use of mechanical or fluid energy.",Factory or laboratory setting,Specialist,Manufacturing,To develop technical specifications and designs for machinery and systems involved in energy production and distribution.,Moderate
2425,"prepare standard volumetric solutions or reagents to be combined with samples, following standardized formulas or experimental procedures.",Laboratory Technician,Prepare standard volumetric solutions or reagents to be combined with samples according to standardized formulas or experimental procedures.,Laboratory,Mid-Level,Manufacturing,To ensure accurate and consistent preparation of laboratory reagents for sample analysis.,Moderate
2426,"prepare statistical reports, narrative reports, or graphic presentations of information, such as tumor registry data for use by hospital staff, researchers, or other users.",Healthcare Data Analyst,"Prepare statistical reports, narrative reports, or graphic presentations of tumor registry data for use by hospital staff, researchers, or other users.",Hospital,Specialist,Education and Health Services,To compile and present tumor registry data in various formats suitable for healthcare professionals and researchers for better decision-making and understanding of patient conditions.,Moderate
2427,"prepare students for performances, exams, or assessments.",Teacher,"Prepare students for performances, exams, or assessments.",School,Mid-level,Education and Health Services,To assist students in preparing for upcoming academic assessments and performance evaluations within the educational setting.,Moderate
2428,"prepare study reports, memoranda, briefs, testimonies, or other written materials to inform government or environmental groups on environmental issues such as climate change.",Environmental Consultant or Policy Analyst,"Inform government or environmental groups about environmental issues such as climate change through written materials like study reports, memoranda, briefs, and testimonies.",Office (likely with virtual collaboration tools),Specialist,Information,To provide informed support to government or environmental groups regarding the critical issue of climate change through well-researched written materials.,Moderate
2429,"prepare study-related documentation such as protocol worksheets, procedural manuals, adverse event reports, institutional review board documents, and progress reports.",Researcher or Study Coordinator,"Prepare various study-related documentation such as protocol worksheets, procedural manuals, adverse event reports, institutional review board documents, and progress reports.","Office environment (e.g., clinical research facility, university)",Specialist,Manufacturing,To document and report on a study for regulatory compliance and tracking purposes.,Moderate
2430,prepare summary statistics of information regarding human genomes.,Biostatistician,Prepare summary statistics of information regarding human genomes for a research project or publication.,"Laptop at an office, possibly with access to databases and reference materials.",Mid-level,Research & Development,To gather and summarize statistical data from various sources related to human genome information for a comprehensive report or publication in the field of genetics and genomics.,Moderate
2431,prepare support documentation and training materials for end users of document management systems.,Documentation Specialist or Training Support,Prepare support documentation and training materials for end users of document management systems.,Office environment where document management software is used,Specialist,Information,To ensure end-users are well-equipped to use a document management system effectively and efficiently.,Moderate
2432,prepare system activity and performance reports.,Systems Analyst or IT Support Specialist,To prepare comprehensive reports on system activities and performance for stakeholders.,"Various locations depending on the organization (e.g., office, remote)",Mid-Level,Information,The user wants to gather data about system operations and efficiency for reporting purposes.,Moderate
2433,prepare tables and graphs to present clinical data or results.,Data Analyst or Researcher,"Prepare tables and graphs to present clinical data or results for presentations, reports, or documentation.","Office environment (e.g., research lab, hospital office)",Mid-level,Other Services,"To visually represent clinical data in a clear and understandable manner for various stakeholders such as doctors, patients, or regulatory bodies.",Moderate
2434,"prepare tables, graphs, fact sheets, and written reports summarizing research results.",Research Analyst,"Summarize research results in various formats such as tables, graphs, fact sheets, and written reports.",Office environment,Specialist,Information,The user wants to effectively communicate research findings through different mediums for a better understanding of the data.,Moderate
2435,"prepare technical drawings, specifications of electrical systems, or topographical maps to ensure that installation and operations conform to standards and customer requirements.",Technical Specialist,"Prepare technical drawings, specifications of electrical systems, or topographical maps to ensure compliance with standards and customer requirements.","Various industrial settings such as factories, research labs, construction sites, etc.",Mid-level,Manufacturing,To produce technical documentation that aligns with industry standards and customer specifications for installation and operational purposes in various environments.,Moderate
2436,prepare technical reports and recommendations based upon research outcomes.,Technical Report Writer or Research Analyst,Prepare technical reports and recommendations based upon research outcomes.,"Various work environments such as offices, laboratories, etc.",Specialist,Manufacturing,The user wants to produce comprehensive reports detailing findings from their research studies for stakeholders or internal use.,Moderate
2437,"prepare technical reports for use by engineering, management, or sales personnel.",Technical Report Writer,"Prepare technical reports for use by engineering, management, or sales personnel.",Office/Workplace,Specialist,Manufacturing,The user is seeking to generate technical reports that will be used by various internal departments within the company for decision-making and communication purposes.,Moderate
2438,"prepare technical reports, data summary documents, or research articles for scientific publication, regulatory submissions, or patent applications.",Technical Writer/Scientist,"Prepare technical reports, data summary documents, or research articles for scientific publication, regulatory submissions, or patent applications.",Office environment,Specialist,Information,"To prepare comprehensive and accurate technical materials for various purposes such as publishing, regulatory compliance, and patent filings.",Moderate
2439,"prepare test solutions, compounds, or reagents for laboratory personnel to conduct tests.",Laboratory Technician,"Prepare test solutions, compounds, or reagents for laboratory personnel to conduct tests.",Laboratory setting within a research facility or manufacturing plant,Mid-level,Manufacturing,To ensure that the laboratory personnel have access to necessary reagents and solutions for their test procedures.,Moderate
2440,"prepare weather reports or maps for analysis, distribution, or use in weather broadcasts, using computer graphics.",Weather Report Writer,"Prepare weather reports or maps for analysis, distribution, or use in weather broadcasts using computer graphics.","Various settings depending on the organization (e.g., office, studio)",Specialist,Information,To provide accurate and visually engaging weather reports for broadcast purposes.,Moderate
2441,"prepare work for sale or exhibition, and maintain relationships with retail, pottery, art, and resource networks that can facilitate sale or exhibition of work.",Artisan or Sales Representative,Prepare work for sale or exhibition and maintain relationships with various networks to facilitate sales or exhibitions of their art.,"Various retail, pottery, art, and resource networks (context not specified)",Mid-Level,Retail Trade,"The user is trying to market their artistic work through various channels such as retail stores, galleries, or art fairs.",Moderate
2442,"prepare work orders for repair, maintenance, or changes in traffic systems.",Traffic Systems Engineer or Maintenance Technician,"Prepare work orders for repair, maintenance, or changes in traffic systems.",Various settings including transportation hubs and infrastructure sites,Mid-level,Construction,To ensure the proper execution of scheduled repairs and upgrades to traffic systems through efficient work order management.,Moderate
2443,"prepare written and oral reports describing research results, using illustrations, maps, appendices, and other information.",Researcher,"Prepare written and oral reports describing research results, using illustrations, maps, appendices, and other information.",Office or any environment conducive to report preparation,Specialist,Information,To communicate research findings effectively through various formats for stakeholders.,Moderate
2444,prepare written documents to establish contracts with or communicate financial recommendations to clients.,Contract Specialist,Prepare written documents to establish contracts with or communicate financial recommendations to clients.,Office,Specialist,Financial Activities,To prepare contract proposals and financial reports for clients.,Moderate
2445,prepare written opinions and decisions.,Lawyer or Legal Professional,"Prepare written opinions and decisions to support legal cases, resolve disputes, or provide guidance on specific issues.",Office environment,Professional Services,Legal Services,"To ensure that written opinions and decisions are well-researched, clear, and legally sound to support various legal matters.",Moderate
2446,prepare written opinions or decisions regarding cases.,Legal Professional,Prepare written opinions or decisions regarding cases.,"Office (typically a legal practice, court setting, or law firm)",Specialist,Financial Activities,To provide legal guidance and decision-making documents in various legal matters.,Moderate
2447,prepare written reports of investigation findings.,Investigator or Researcher,Prepare written reports based on investigation findings,"Various work environments (e.g., office, research labs)",Specialist,Information,To document and communicate the outcomes of investigative processes effectively in writing for stakeholders or management,Moderate
2448,prepare written reports on investigations.,Investigator or Report Writer,Prepare written reports on the results of investigations conducted for various departments or projects,"Various locations depending on investigation scope (e.g., office, field, remote location)",Specialist,Other Services,To document findings from investigations in a clear and comprehensive manner to facilitate decision-making processes within the organization.,Moderate
2449,"prepare written reports that estimate property values, outline methods by which the estimations were made, and meet appraisal standards.",Appraisal Specialist,"Prepare written reports estimating property values and detailing the methods used, ensuring compliance with appraisal standards.",Office/Workplace,Mid-Level,Other Services,The user is seeking an appraisal specialist to prepare comprehensive property valuation reports that adhere to professional appraisal standards.,Moderate
2450,"prepare, administer, and grade tests and assignments to evaluate students' progress.",Educator or Teacher,"Evaluate students' progress through the administration, preparation, and grading of tests and assignments.",School or Educational Institution,Mid-level,Education and Health Services,To assess student learning outcomes and performance in various subjects through test and assignment evaluations.,Moderate
2451,"prepare, administer, or grade tests or assignments to evaluate students' progress.",Teacher,To evaluate students' progress through the administration and grading of tests or assignments.,School,Senior,Education and Health Services,To assess students' academic performance and provide feedback for improvement.,Moderate
2452,"prepare, analyze, and verify annual reports, financial statements, and other records, using accepted accounting and statistical procedures to assess financial condition and facilitate financial planning.",Financial Analyst,"Prepare, analyze, and verify annual reports, financial statements, and other records to assess the financial condition and facilitate financial planning using accepted accounting and statistical procedures.",Office,Specialist,Financial Activities,To provide a comprehensive overview of financial performance for decision-making purposes within the organization.,Moderate
2453,"prepare, examine, or analyze accounting records, financial statements, or other financial reports to assess accuracy, completeness, and conformance to reporting and procedural standards.",Accountant,"To ensure the accuracy, completeness, and compliance of accounting records, financial statements, or other financial reports with reporting and procedural standards.",Office environment for data analysis and report preparation.,Specialist,Financial Activities,The user was trying to ensure the accuracy and compliance of financial documents according to accounting standards.,Moderate
2454,"prepare, maintain, and record records of inventories, receipts, purchases, or deliveries, using a variety of computer screen formats.",Inventory Manager or Inventory Clerk,"Prepare, maintain, and record records of inventories, receipts, purchases, or deliveries using a variety of computer screen formats.","Various settings including but not limited to offices, warehouses, distribution centers, etc.",Mid-Level,Manufacturing,To ensure accurate tracking and record-keeping of inventory movements for supply chain management.,Moderate
2455,"prepare, maintain, and review purchasing files, reports and price lists.",Purchasing Specialist,"To prepare, maintain and review purchasing files, reports and price lists for organizational purposes.",Office,Mid-level,Wholesale Trade,The user wants to ensure that all purchasing records are accurately maintained and reviewed in order to support business operations efficiently.,Moderate
2456,"prepare, maintain, or update security procedures, security system drawings, or related documentation.",Security Specialist,"Prepare, maintain, or update security procedures and related documentation to ensure the safety and security of a facility or organization.","Various locations including but not limited to office buildings, industrial facilities, educational institutions, etc.",Specialist,Professional Services,To update and maintain security protocols for an organization's safety and compliance with regulations.,Moderate
2457,"prepare, manipulate, and manage extensive databases.",Database Administrator,"Prepare, manipulate, and manage extensive databases.","Various locations depending on the organization, such as office environments or remote servers.",Specialist,Information,To ensure efficient database operations and to maintain large-scale data systems within an organization.,Moderate
2458,"prepare, or direct the preparation of, product or system layouts and detailed drawings and schematics.",Manufacturing Engineer,Prepare or direct the preparation of product or system layouts and detailed drawings and schematics.,Factory/Workshop,Specialist,Manufacturing,"The user is attempting to ensure that all necessary layouts, drawings, and schematic documents are created for a manufacturing product or system.",Moderate
2459,"prepare, review, or maintain maintenance schedules, design documentation, or operational reports or charts.",Maintenance Technician or Engineer,"To prepare, review, maintain maintenance schedules, design documentation, or operational reports or charts.",Manufacturing Facility,Specialist,Manufacturing,The user was trying to ensure proper maintenance scheduling and documentation for a manufacturing facility.,Moderate
2460,"prepare, review, or update environmental investigation or recommendation reports.",Environmental Consultant or Scientist,"Prepare, review, or update environmental investigation or recommendation reports to ensure compliance with regulatory standards and provide actionable insights for stakeholders.",Office Environment,Specialist,Manufacturing,To comply with environmental regulations and provide recommendations that protect the environment while informing decision-making processes in line with industry requirements.,Moderate
2461,"prepare, rewrite and edit copy to improve readability, or supervise others who do this work.",Copywriter or Content Editor,"Improve readability and quality of written content by preparing, rewriting, and editing as needed.","Various work environments including offices, freelance platforms, etc.",Mid-level,Information,The user wants to enhance the clarity and effectiveness of existing written materials for better understanding and communication.,Moderate
2462,"prepare, store, and retrieve classification and catalog information, lecture notes, or other information related to stored documents, using computers.",Information Technology Specialist,"To prepare, store, and retrieve classification and catalog information, lecture notes, or other information related to stored documents using computers.",Office environment,Mid-level,Information,The user was trying to efficiently manage and organize stored document information for later retrieval and use in a professional setting.,Moderate
2463,"prescribe individualized exercise programs, specifying equipment such as treadmill, exercise bicycle, ergometers, or perceptual goggles.",Exercise Program Prescriber,"To prescribe individualized exercise programs including specified equipment such as treadmill, exercise bicycle, ergometers, or perceptual goggles.",Not Specified in the Task Description,Specialist,Manufacturing,The user was trying to find someone who can prescribe an individualized exercise program that includes specific types of equipment for physical therapy or fitness training.,Moderate
2464,"prescribe medications based on efficacy, safety, and cost as legally authorized.",Pharmacist,"Prescribe medications based on efficacy, safety, and cost as legally authorized.",Hospital or Pharmacy,Specialist,Manufacturing,"The user is trying to ensure that the prescribed medications are effective, safe, and within a budget after considering legal requirements.",Moderate
2465,"prescribe or administer treatment, therapy, medication, vaccination, and other specialized medical care to treat or prevent illness, disease, or injury in infants and children.",Pediatric Healthcare Provider,"Provide medical care to infants and children, including treatment, therapy, medication, vaccination, and other specialized care to treat or prevent illness, disease, or injury.","Hospital, Clinic, School Health Center, etc.",Specialist,Education and Health Services,The user was trying to understand the medical responsibilities of a pediatric healthcare provider for infants and children.,Moderate
2466,"present and explain proposals, reports, or findings to clients.",Client Presentation Specialist,"Present proposals, reports, or findings to clients effectively and professionally","Various client settings such as office spaces, conference rooms, client meetings",Specialist,Professional Services,"To communicate the results of their work in a clear, professional manner to clients for decision-making or further collaboration.",Moderate
2467,"present and make recommendations regarding course design, technology, and instruction delivery options.",Course Designer or Instructional Designer,"Present and make recommendations regarding course design, technology, and instruction delivery options.",Not specified in the task description,Specialist,Professional Services,The user is seeking advice on how to design courses effectively while considering technological advancements and delivery methods.,Moderate
2468,present clear and concise explanations of governing rules and regulations.,Personnel or Compliance Officer,Present clear and concise explanations of governing rules and regulations.,"Any location where the audience needs to understand regulatory frameworks, such as a meeting room, webinar platform, etc.",Specialist,Government,To ensure understanding and compliance with current regulations among stakeholders or employees.,Moderate
2469,present clients with information required to make informed health care and treatment decisions.,Healthcare Informatics Specialist,Present clients with information required to make informed health care and treatment decisions.,Hospital or healthcare setting,Specialist,Education and Health Services,To ensure patients have access to comprehensive medical information for making healthcare decisions,Moderate
2470,present drafts and ideas to clients.,Salesperson,To present drafts and ideas to clients in order to secure business deals or provide solutions.,"Client's office, Meeting rooms, Conference rooms, Sales offices",Specialist,Retail Trade,The user was trying to accomplish securing a client deal by presenting their work and ideas effectively.,Moderate
2471,"present historical accounts in terms of individuals or social, ethnic, political, economic, or geographic groupings.",Historical Account Presenter,"Present historical accounts categorized by individuals or social, ethnic, political, economic, or geographic groupings.","Various settings where presentations are given (e.g., classroom, auditorium, virtual platform)",Specialist,Other Services,To provide a comprehensive overview of historical events from different perspectives and categories.,Moderate
2472,"present information in audio-visual or interactive formats, using computers, television, audio-visual aids, or other equipment, materials, or technologies.",Information Communicator,"Present information in audio-visual or interactive formats, using computers, television, audio-visual aids, or other equipment, materials, or technologies.","Various settings such as offices, schools, hospitals, etc.",Specialist,Information,"To inform and engage an audience using multimedia formats for various purposes like training, education, entertainment, or communication.",Moderate
2473,"present information in audio-visual or interactive formats, using computers, televisions, audio-visual aids, or other equipment, materials, or technologies.",Educator/Content Creator,Present information in audio-visual or interactive formats for educational purposes.,"Classroom, Virtual Learning Environment, Conference Room, Training Sessions",Specialist,Information,To create engaging and accessible content for students or employees using multimedia tools to enhance learning experiences.,Moderate
2474,"present information using a variety of instructional techniques or formats, such as role playing, simulations, team exercises, group discussions, videos, or lectures.",Instructional Facilitator,"Present information using a variety of instructional techniques or formats like role playing, simulations, team exercises, group discussions, videos, or lectures.","A wide range of settings including offices, schools, training centers, and workshops.",Specialist,Professional Services,To convey knowledge effectively through interactive methods to enhance learning outcomes.,Moderate
2475,"present investment information, such as product risks, fees, or fund performance statistics.",Investment Analyst,"Present investment information to stakeholders such as product risks, fees, or fund performance statistics.",Various settings including offices and possibly online platforms for virtual presentations.,Mid-level,Financial Activities,To communicate the details of an investment opportunity clearly and comprehensively to potential investors or stakeholders.,Moderate
2476,"present lectures and conduct discussions to increase students' knowledge and competence using visual aids, such as graphs, charts, videotapes, and slides.",Instructor or Lecturer,"Increase students' knowledge and competence through lectures, discussions, and visual aids like graphs, charts, videotapes, and slides.",School,Mid-level,Education and Health Services,To enhance educational outcomes by providing comprehensive instruction and engaging students with multimedia tools.,Moderate
2477,"present oral or written reports on general economic trends, individual corporations, and entire industries.",Economic Analyst,"To present oral or written reports on general economic trends, individual corporations, and entire industries.",Various locations including offices where the analyst works and possibly meetings with clients or industry representatives.,Specialist,Financial Activities,"The user was trying to obtain or share information about economic trends affecting corporations and industries, which could be for decision-making, informing investors, or regulatory purposes.",Moderate
2478,"present project plans or designs to public stakeholders, such as government agencies or community groups.",Project Communicator or Stakeholder Liaison,"Present project plans or designs to public stakeholders, such as government agencies or community groups.","Various public venues (e.g., boardrooms, community centers)",Mid-Level,Other Services,To inform and engage the public about project plans and designs to ensure understanding and support for upcoming projects.,Moderate
2479,present research findings at scientific conferences and in papers written for scientific journals.,Scientific Researcher,Present research findings at scientific conferences and in papers written for scientific journals.,Office or laboratory setting,Specialist,Information,To disseminate their research to the academic community and potentially influence future research directions.,Moderate
2480,present research findings to groups of people.,Researcher or Presenter,"To present research findings to groups of people for the purpose of education, awareness, or decision-making.","Various locations including offices, conferences, seminars, and classrooms based on audience needs and organizational settings.",Specialist,Information,To share insights from research with audiences to inform decisions or promote understanding of a topic.,Moderate
2481,"present statistical and nonstatistical results using charts, bullets, and graphs in meetings or conferences to audiences such as clients, peers, and students.",Presentor or Data Visualizer,"Present statistical and nonstatistical results using charts, bullets, and graphs in meetings or conferences to audiences such as clients, peers, and students.",Meeting rooms or conference venues,Specialist,Other Services,To effectively communicate data-driven insights to various stakeholders in a clear and engaging manner.,Moderate
2482,"present water resource proposals to government, public interest groups, or community groups.",Water Resource Specialist,"Present water resource proposals to government, public interest groups, or community groups.",Various settings including offices and possibly community gatherings based on the target audience,Specialist,Utilities,The user intends to present water resource proposals to relevant stakeholders for consideration and potential implementation.,Moderate
2483,"preserve records, documents, and objects, copying records to film, videotape, audiotape, disk, or computer formats as necessary.",Archivist,"Preserve records, documents, and objects by copying them into various digital formats.",Office/Storage Facility,Mid-level,Other Services,Ensure that important historical data can be accessed in multiple formats for long-term storage and potential use.,Moderate
2484,"process and prepare documents, such as business or government forms and expense reports.",Document Processor,Process and prepare documents such as business or government forms and expense reports for submission or internal use.,Office,Specialist,Manufacturing,To ensure all required documents are accurately prepared and ready for review or submission.,Moderate
2485,"process and prepare memos, correspondence, travel vouchers, or other documents.",Office Assistant or Administrative Support Worker,"To process and prepare various documents such as memos, correspondence, and travel vouchers for administrative purposes.",Office or Corporate Environment,Mid-Level,Wholesale Trade,The user is trying to ensure that all necessary paperwork related to their work is organized and ready for review/processing.,Moderate
2486,process and record new insurance policies and claims.,Insurance Processor,Process and record new insurance policies and claims efficiently and accurately.,"Office environment (e.g., Insurance company, broker office)",Mid-level,Wholesale Trade,To ensure timely and accurate handling of new insurance policy enrollments and claim submissions for the company’s clients.,Moderate
2487,process and review employment applications to evaluate qualifications or eligibility of applicants.,Human Resources Professional,Evaluate employment applications to determine qualifications or eligibility of applicants,Office environment,Specialist,Professional Services,To evaluate job applications and assess the suitability of potential employees based on their qualifications and eligibility criteria.,Easy
2488,"process claims against the municipality, maintaining files and log of claims, and coordinate claim response and handling with municipal claims administrators.",Claims Processor,"Process claims against the municipality, maintain files and log of claims, and coordinate with municipal claims administrators",Office or Municipal Building,Mid-level,Government,To ensure efficient management of claims submitted by individuals against a municipality's services and to facilitate effective communication with the municipal claims team.,Moderate
2489,"process clinical data, including receipt, entry, verification, or filing of information.",Clinical Data Processor,"Process clinical data including receipt, entry, verification, or filing of information.",Hospital or Medical Facility,Specialist,Health Care & Social Assistance,To ensure accurate and timely processing of patient-related medical records for various healthcare purposes.,Moderate
2490,"process data for analysis, using computers.",Data Processor,Prepare data for further analysis using computer tools and software.,"Various locations including but not limited to offices, laboratories, or field sites where the data is collected.",Specialist,Manufacturing,To prepare raw data for analysis by analysts who will use it for reporting and decision-making processes.,Moderate
2491,"process large amounts of data for statistical modeling and graphic analysis, using computers.",Data Analyst,Process large amounts of data for statistical modeling and graphic analysis using computers.,Office or remote computer workspace,Specialist,Information,"The user wants to analyze complex datasets through statistical models and visualizations for insights, likely in a professional setting such as finance or research.",Moderate
2492,"process, prepare, and submit business or government forms, such as submitting applications for coverage to insurance carriers.",Business or Government Form Processor,"To process, prepare, and submit insurance application forms to insurance carriers for coverage approval.","Office environment (e.g., corporate office)",Specialist,Manufacturing,The user is trying to apply for insurance coverage and submit the necessary form to their insurance carrier.,Moderate
2493,"process, verify, and maintain personnel related documentation, including staffing, recruitment, training, grievances, performance evaluations, classifications, and employee leaves of absence.",Human Resources Specialist,"Process, verify, and maintain personnel related documentation for various HR functions including staffing, recruitment, training, grievances, performance evaluations, classifications, and employee leaves of absence.",Office or HR department environment,Mid-level,Professional Services,To manage the personnel records and ensure compliance with HR policies and regulations in an organization.,Moderate
