Unnamed: 0,task_name,role,goal,location,company_level,fred_category,user_intent,difficulty
3026,"review existing or incoming data for currency, accuracy, usefulness, quality, or completeness of documentation.",Data Analyst,"To review existing or incoming data for currency, accuracy, usefulness, quality, or completeness of documentation.","Various locations depending on the source and destination of the data (e.g., office computers, online platforms, etc.)",Specialist,Information,"The user was trying to ensure that the incoming or existing data is accurate, useful, and meets the quality standards needed for further analysis.",Moderate
3027,review existing policies or legislation to identify environmental impacts.,Policy Reviewer,To identify environmental impacts of existing policies or legislation.,Office,Specialist,Information,The user is trying to ensure that the environmental impact of various policies and laws is considered in their review process.,Moderate
3028,review facts of incidents to determine if criminal act or statute violations were involved.,Data Analyst,To review facts of incidents and determine if criminal act or statute violations were involved.,Office/Workplace,Specialist,Information,The user is trying to identify any criminal acts or statutory violations based on incident facts provided by them.,Moderate
3029,review filed tax returns to determine whether claimed tax credits and deductions are allowed by law.,Tax Auditor,Review filed tax returns to determine whether claimed tax credits and deductions are allowed by law.,Office Environment,Specialist,Financial Activities,To ensure that the reported tax credits and deductions comply with legal requirements for accuracy and legitimacy in a set of submitted tax returns.,Moderate
3030,"review files, records, and other documents to obtain information to respond to requests.",Documentation Reviewer,"To obtain information from files, records, and documents to respond to requests effectively.","Various settings such as office environments or digital platforms based on the nature of the documents (e.g., archives, databases)",Specialist,Information,To gather necessary information from various files and records to promptly address user requests.,Moderate
3031,review final layouts and suggest improvements as needed.,Graphic Designer,Review final layouts and suggest improvements as needed.,Office or Digital Workspace,Mid-Level,Design Services,The user is attempting to ensure the visual elements of their design project are polished and effective before moving forward with it.,Moderate
3032,"review financial periodicals, stock and bond reports, business publications, or other material to identify potential investments for clients or to keep abreast of trends affecting market conditions.",Financial Analyst,"To review financial periodicals, stock and bond reports, business publications to identify potential investments or trends affecting market conditions for clients.",Office,Specialist,Financial Activities,The user was trying to gather information to advise on investment opportunities and monitor market trends.,Moderate
3033,"review financial statements, sales or activity reports, or other performance data to identify opportunities for cost reductions or service improvements.",Finance Analyst,"Identify opportunities for cost reductions or service improvements through reviewing financial statements, sales or activity reports, or other performance data.",Office environment,Specialist,Financial Activities,To find ways to improve efficiency and reduce costs by analyzing financial and operational data within the company.,Moderate
3034,"review financial statements, sales or activity reports, or other performance data to measure productivity or goal achievement or to identify areas needing cost reduction or program improvement.",Finance Analyst,"Review financial statements, sales or activity reports, or other performance data to measure productivity or goal achievement or to identify areas needing cost reduction or program improvement.",Office,Specialist,Financial Activities,To analyze and evaluate various performance metrics for the purpose of improving operational efficiency and identifying areas that require cost reductions or process improvements.,Moderate
3035,review footage sequence by sequence to become familiar with it before assembling it into a final product.,Video Editor,Become familiar with footage sequence by sequence before assembling it into a final product.,"Various (e.g., studio, office)",Mid-Level,Manufacturing,To prepare for the final assembly of video content based on reviewed footage sequences.,Moderate
3036,"review forms and reports and confer with management and users about format, distribution, and purpose, and to identify problems and improvements.",Form and Report Reviewer,"To review forms and reports, confer with management and users for format, distribution, and purpose identification, and to identify problems and improvements.",Office environment,Specialist,Professional Services,"The user is trying to ensure that the forms and reports are correctly formatted, distributed as intended, and understood for their purpose. They also aim to identify any issues or areas for improvement.",Moderate
3037,"review global, national, or regional transportation or logistics reports for ways to improve efficiency or minimize the environmental impact of logistics activities.",Logistics Analyst,Review transportation or logistics reports to suggest improvements in efficiency and environmental impact of logistics activities,"Various locations depending on the source of the reports (e.g., offices, data centers)",Specialist,Transportation,The user wants to find ways to enhance logistics operations and reduce their environmental footprint by analyzing relevant reports.,Moderate
3038,review grant applications or make funding recommendations.,Grant Reviewer or Funding Recommendation Specialist,Evaluate grant applications and provide funding recommendations based on the evaluated data.,"Various locations including offices, online platforms for remote review",Specialist,Professional Services,To evaluate grant applications and make informed decisions about which proposals to fund or recommend further consideration.,Moderate
3039,review illustrative material to determine if it conforms to standards and specifications.,Quality Assurance Specialist,To review illustrative material to ensure compliance with standards and specifications.,"Various locations, depending on the source of the illustrative material (e.g., office, online platforms, physical files)",Specialist,Information,To ensure that the illustrative materials adhere to established standards and specifications for quality control.,Moderate
3040,review information about programs and schedules to ensure accuracy and provide such information to local media outlets.,Media Information Coordinator,Review information about programs and schedules to ensure accuracy for local media outlets,Local Media Outlets,Specialist,Information,To provide accurate program and schedule information to the local media outlets.,Easy
3041,"review instructional content, methods, and student evaluations to assess strengths and weaknesses, and to develop recommendations for course revision, development, or elimination.",Instructional Content Analyst,"Assess instructional content, methods, and student evaluations to develop recommendations for course revision, development, or elimination.",School or Educational Institution,Specialist,Education and Health Services,The user was trying to evaluate the effectiveness of instructional materials and methods in a school setting with the aim of improving student learning outcomes through recommendations for course improvements.,Moderate
3042,review insurance policy terms to determine whether a particular loss is covered by insurance.,Insurance Claims Adjuster,Review insurance policy terms to determine coverage for a particular loss,"Anywhere with internet access and necessary software (e.g., office, home)",Specialist,Financial Activities,To ascertain if a reported loss is covered under the insurance policy terms to facilitate appropriate claims processing.,Moderate
3043,review insurance policy to determine coverage.,Insurance Underwriter,Determine the coverage of an insurance policy to ensure it meets the needs and requirements of the client.,"Various locations, including offices where the insurance company's clients may be located or in their own homes for remote consultations.",Specialist,Financial Activities,To understand what coverage an insurance policy provides and to ensure it adequately protects the client’s assets and liabilities.,Moderate
3044,review legal publications and perform database searches to identify laws and court decisions relevant to pending cases.,Legal Researcher,To review legal publications and perform database searches to identify laws and court decisions relevant to pending cases.,Office or Law Firm,Specialist,Information,The user wants to gather legal information for use in handling various pending cases.,Moderate
3045,"review manufacturer's and trade catalogs, drawings and other data relative to operation, maintenance, and service of equipment.",Equipment Technician,"Review documentation to support operation, maintenance, and service of equipment",Factory or Production Site,Specialist,Manufacturing,"To gather comprehensive information about the operation, maintenance, and service procedures for specific pieces of equipment.",Moderate
3046,review manuscripts for publication in books and professional journals.,Manuscript Reviewer,To ensure the quality and suitability of manuscripts for publication in books and professional journals.,"Varys from offices and homes, depending on the specific context (e.g., home-based freelance work).",Specialist,Professional Services,To evaluate manuscripts to ensure they meet the standards for publication in books and professional journals.,Moderate
3047,review materials such as marketing literature or user manuals to ensure that regulatory agency requirements are met.,Quality Assurance/Regulatory Compliance Officer,Ensure that marketing literature and user manuals comply with regulatory agency requirements,Office or designated work area in a business setting,Mid-Level,Financial Activities,To ensure compliance of marketing materials and user manuals with applicable regulations to avoid legal issues and maintain trust with customers.,Moderate
3048,"review menus and analyze recipes to determine labor and overhead costs, and assign prices to menu items.",Food Service Manager,"Review menus and analyze recipes to determine labor and overhead costs, and assign prices to menu items.",Restaurant or Food Service Establishment,Mid-Level,Leisure and Hospitality,"To set appropriate prices for menu items based on the cost of ingredients, labor, and overhead expenses in a restaurant setting.",Moderate
3049,"review new product plans and make recommendations for material selection based on design objectives, such as strength, weight, heat resistance, electrical conductivity, and cost.",Product Development Specialist,"Analyze new product plans and provide recommendations for material selection based on design objectives like strength, weight, heat resistance, electrical conductivity, and cost.","Workplace (e.g., office or lab)",Specialist/Senior,Manufacturing,The user intends to ensure the selection of materials for a new product aligns with its design objectives while also being cost-effective and feasible.,Moderate
3050,review operating budgets to analyze trends affecting budget needs.,Finance Analyst,Analyze trends affecting budget needs to review operating budgets.,Office,Mid-level,Financial Activities,To understand and analyze the financial trends impacting the budget for their company's operations.,Moderate
3051,"review operating practices and procedures to determine whether improvements can be made in areas such as workflow, reporting procedures, or expenditures.",Operations Specialist,"To review operating practices and procedures to determine if improvements can be made in areas like workflow, reporting procedures, or expenditures.","Various organizational settings (e.g., office environments)",Specialist,Manufacturing,The user aims to identify opportunities for process improvement within their organization's operations.,Moderate
3052,review operational records and reports to project sales and determine profitability.,Operational Analyst,To review operational records and reports to project sales and determine profitability,Office/Workplace,Specialist,Financial Activities,The user aims to analyze operational data for financial analysis purposes related to sales and profitability.,Moderate
3053,review operations and confer with technical or administrative staff to resolve production or processing problems.,Production Technician,Resolve production or processing problems by reviewing operations and conferring with technical or administrative staff,Factory or Manufacturing Plant,Mid-Level,Manufacturing,To ensure smooth operation of the manufacturing process by addressing any issues that arise during production.,Moderate
3054,"review or approve designs, calculations, or cost estimates.",Design Reviewer or Cost Estimator,"To review, approve designs, calculations, or cost estimates for accuracy and compliance.","Various locations depending on the setting (e.g., office, remote work)",Specialist,Manufacturing,The user aims to ensure designs are accurate and cost estimates are within acceptable parameters for project planning or approval.,Moderate
3055,review or evaluate proposals or bids to make recommendations regarding awarding of contracts.,Procurement Specialist,To review or evaluate proposals or bids to make recommendations regarding awarding of contracts.,Office/Workplace,Mid-Level,Professional Services,To facilitate the decision-making process for contract awards based on evaluated bids and proposals in a procurement context.,Moderate
3056,review or transmit images and information using picture archiving or communications systems.,Medical Imaging Technician or Administrator,To review and transmit images and information using picture archiving and communications systems (PACS) for healthcare purposes.,Hospital or Healthcare Facility,Mid-Level,Health Services,The user is trying to ensure that medical imaging data is efficiently managed and accessed across the hospital's PACS system.,Moderate
3057,"review or update web page content or links in a timely manner, using appropriate tools.",Web Content Manager or Web Administrator,Review and update web page content or links in a timely manner using appropriate tools,Online (web environment),Mid-Level,Information,"Ensure the accuracy, relevance, and up-to-date information on the company's website to maintain user engagement and credibility.",Moderate
3058,review papers for colleagues and scientific journals.,Researcher or Academician,"To review papers for colleagues and scientific journals to ensure their quality, relevance, and contribution to the field of study.",Office or Research Lab (various locations depending on where the reviewer is located),Specialist,Information,"To contribute to academic discourse by reviewing papers for colleagues and scientific journals, ensuring they meet scholarly standards and advance knowledge in their respective fields.",Moderate
3059,review papers for publication in journals.,Reviewer,To review papers for potential publication in journals.,"Not specified, could be any environment where researchers submit articles (e.g., academia, research institutions).",Specialist or Senior,Information,The user is seeking to ensure that submitted academic papers meet the standards and quality required for publication in scholarly journals.,Moderate
3060,"review papers or serve on editorial boards for scientific journals, and review grant proposals for federal agencies.",Scientific Journal Reviewer and Editor,"To review papers, serve on editorial boards for scientific journals, and review grant proposals for federal agencies.",Various locations including offices of academic institutions and government bodies,Specialist,Professional Services,"The user was trying to find information or resources related to roles that involve reviewing papers, serving on editorial boards for scientific journals, and reviewing grant proposals.",Moderate
3061,"review papers or serve on editorial boards for scientific journals, and review grant proposals for various agencies.",Scientific Journal Reviewer or Editor,"To review papers, serve on editorial boards for scientific journals, and review grant proposals for various agencies.","Various locations including offices of scientific journals and granting bodies, potentially remote as some aspects may be done online.",Specialist,Professional Services,To ensure high-quality contributions to the scientific community and funding for research projects through rigorous review processes.,Moderate
3062,"review patients' dietary restrictions, food allergies, and preferences to ensure patient receives appropriate diet.",Dietitian,"Ensure patients receive appropriate diet considering their dietary restrictions, food allergies, and preferences.",Hospital or clinic,Specialist,Health Services,To provide a proper diet plan for patients based on their specific needs to ensure they are healthy and receiving appropriate nutrition.,Moderate
3063,"review performer information, such as photos, resumes, voice tapes, videos, and union membership, to decide whom to audition for parts.",Production Coordinator,To review performer information for potential audition candidates.,Audition/Rehearsal Room,Mid-Level,Wholesale Trade,To select appropriate performers based on their qualifications and experience provided through various media formats.,Moderate
3064,"review plans for new construction with clients, enumerating and recommending available options and features.",Construction Consultant,Review plans for new construction with clients and recommend available options and features,Office or Client Site,Specialist,Construction,The user is trying to gather information from a Construction Consultant regarding the feasibility and design aspects of new construction projects for their client.,Moderate
3065,"review prescription, diagnosis, patient chart, and identification.",Healthcare Provider,"Ensure that the prescription, diagnosis, patient chart, and identification are reviewed for accuracy and completeness.",Hospital or Medical Office,Specialist,Professional Services,To ensure all medical documentation is correct before treatment begins.,Moderate
3066,review procedures in database management system manuals for making changes to database.,Database Administrator,Review procedures for making changes to database management system manuals,Office (likely a computer lab or server room),Specialist,Information,To ensure that the correct and safe procedures are followed when modifying database management systems.,Moderate
3067,"review procedures, such as distribution or inventory management, to ensure maximum efficiency or minimum cost.",Operations Manager,Review procedures such as distribution or inventory management to ensure maximum efficiency or minimum cost.,"Office environment, potentially with on-site visits to warehouses and distribution centers",Mid-level,Manufacturing,To optimize the company's logistics operations for better performance and cost-effectiveness,Moderate
3068,"review production schedules, engineering specifications, orders, and related information to obtain knowledge of manufacturing methods, procedures, and activities.",Manufacturing Manager,"To gain knowledge of manufacturing methods, procedures, and activities through reviewing production schedules, engineering specifications, orders, and related information.",Factory or Manufacturing Plant,Senior,Manufacturing,The user aims to understand the current state of manufacturing operations by examining various documents and keeping up-to-date with production activities.,Moderate
3069,"review program specifications or blueprints to determine and set machine operations and sequencing, finished workpiece dimensions, or numerical control sequences.",Manufacturing Engineer,"Review program specifications or blueprints to determine and set machine operations, sequencing, finished workpiece dimensions, or numerical control sequences.",Factory,Specialist,Manufacturing,To review design documents and ensure that the manufacturing process aligns with the specifications provided in the program blueprints.,Moderate
3070,"review project activities and prepare and review research, testing, or operational reports.",Project Analyst,"Review project activities and prepare/review research, testing, or operational reports.",Not specified in the task description,Mid-level,Professional Services,To ensure comprehensive analysis of project activities and to provide accurate and thorough reports for future reference.,Moderate
3071,"review project instructions and specifications to identify, modify and plan requirements fabrication, assembly and testing.",Project Manager,"To review project instructions and specifications to identify, modify, plan requirements for fabrication, assembly, and testing.","Various locations depending on the project context (office, factory, etc.)",Mid-level or Senior,Manufacturing,To ensure that all aspects of a project are properly planned from initial instructions to final testing stages.,Moderate
3072,review project plans to plan and coordinate project activity.,Project Coordinator,Review project plans and plan and coordinate project activities to ensure successful project execution.,"Office environment, remote or in-person as part of an organization's structure.",Mid-level,Professional Services,To ensure that all project plans are reviewed and coordinated effectively for the smooth operation of projects within the company.,Moderate
3073,review project requests describing database user needs to estimate time and cost required to accomplish project.,Database Administrator,Estimate time and cost for projects based on user needs regarding database users.,Office/Remote Work Environment,Specialist,Information,To provide a project timeline and budget estimation based on the requirements provided by database users.,Moderate
3074,"review property listings, trade journals, and relevant literature, and attend conventions, seminars, and staff and association meetings to remain knowledgeable about real estate markets.",Real Estate Market Researcher,"Stay updated with real estate markets by reviewing property listings, trade journals and literature, attending conventions, seminars, and meetings.","Various locations including office spaces, conferences centers, and industry association venues.",Specialist,Professional Services,To ensure the user has up-to-date knowledge of real estate markets to provide accurate information and advice.,Moderate
3075,"review proposed study protocols to evaluate factors such as sample collection processes, data management plans, and potential subject risks.",Researcher or Reviewer,"Evaluate factors such as sample collection processes, data management plans, and potential subject risks in proposed study protocols",Office/Research Lab,Specialist/Senior,Other Services,To ensure the safety and integrity of proposed research studies before they are implemented.,Moderate
3076,"review published materials and recommend revisions or changes in scope, format, content, and methods of reproduction and binding.",Content Reviewer or Editor,"To review published materials and make recommendations for revisions, changes in scope, format, content, and methods of reproduction and binding.","Various locations including offices, libraries, online platforms (depending on the nature of the materials), etc.",Specialist or Mid-Level,Other Services,"To improve the quality and consistency of published materials for various stakeholders such as customers, partners, and end-users.",Moderate
3077,review quality documentation necessary for regulatory submissions and inspections.,Quality Assurance Specialist,Ensure the quality and compliance of documentation necessary for regulatory submissions and inspections.,"Office environment, possibly in a regulated industry setting (e.g., pharmaceuticals, healthcare)",Mid-Level,Professional Services,To ensure all submitted documents meet regulatory standards and are suitable for inspection by relevant authorities.,Moderate
3078,"review records for completeness, accuracy, and compliance with regulations.",Records Auditor,"To ensure that all records are complete, accurate, and comply with relevant regulations.",Various locations including but not limited to offices and data centers where records are stored and accessed.,Specialist,Other Services,To maintain compliance with internal policies and regulatory requirements for record-keeping in their organization.,Moderate
3079,review records or reports for clarity and completeness and maintain records or reports as required under federal law.,Record Reviewer,To review records or reports for clarity and completeness and to maintain them as required by federal law.,"Various organizational settings such as offices, factories, etc.",Specialist,Other Services,The user intends to ensure that all maintained records or reports comply with federal legal requirements for clarity and completeness.,Moderate
3080,review rents to ensure that they are in line with rental markets.,Property Manager or Analyst,Ensure rents are aligned with rental market standards and conditions.,"Various commercial properties (office, retail, residential)",Mid-Level,Retail Trade,To maintain competitive property pricing in the current market to attract tenants or customers while ensuring profitability.,Moderate
3081,review reports of securities transactions or price lists to analyze market conditions.,Securities Analyst,Analyze market conditions by reviewing reports of securities transactions or price lists.,Office/Workplace,Specialist/Senior,Financial Activities,To gain insights into market trends and conditions for investment decisions based on the reviewed data.,Moderate
3082,review reports of suspected fraud to determine need for further investigation.,Fraud Analyst,To review reports of suspected fraud to determine if further investigation is needed.,Office,Specialist,Financial Activities,The user wants to identify and assess potential cases of fraud within the organization for possible action.,Moderate
3083,review reports submitted by staff members to recommend approval or to suggest changes.,HR Administrator or Report Reviewer,To review reports submitted by staff members and either recommend approval or suggest changes to improve the quality of the reports.,"Various settings depending on the organization, such as an office setting where digital reports are reviewed.",Specialist,Information,To ensure that the submitted reports meet the required standards and to provide feedback or corrections for better reporting quality.,Moderate
3084,"review research literature to maintain knowledge on topics related to industrial ecology, such as physical science, technology, economy, and public policy.",Researcher or Knowledge Manager,"Review and maintain knowledge on industrial ecology topics including physical science, technology, economy, and public policy.","Anywhere with access to digital resources (e.g., office, library, home)",Specialist,Information,To stay updated in the interdisciplinary field of industrial ecology for their professional development or work responsibilities,Moderate
3085,review research literature to remain current on psychological science issues.,Researcher,Stay current on psychological science issues through reviewing research literature.,"Various locations depending on the researcher's work environment (e.g., office, library, online platforms)",Specialist,Information,To keep up-to-date with the latest findings and developments in psychological science for academic or professional purposes.,Moderate
3086,"review research or literature in art therapy, psychology, or related disciplines.",Researcher or Literature Reviewer,"To review research or literature in art therapy, psychology, or related disciplines.","Various locations depending on the nature of the study (e.g., library, home office, academic institution)",Specialist,Information,"The user is trying to compile a comprehensive review of existing literature in art therapy, psychology, or related fields.",Moderate
3087,"review scientific literature, participate in continuing education activities, or attend conferences and seminars to maintain current knowledge of clinical studies affairs and issues.",Clinical Researcher,"Maintain current knowledge of clinical studies affairs and issues through reviewing scientific literature, participating in continuing education activities, and attending conferences and seminars.","Various settings including offices, hospitals, schools, or any venue where such events are held.",Specialist,Professional Services,To stay updated with the latest clinical studies to provide best patient care and contribute to medical research advancements.,Moderate
3088,review scientific proposals and research papers.,Scientific Reviewer,"To review scientific proposals and research papers for accuracy, relevance, and quality.","Various locations depending on the source of the documents (e.g., university libraries, online platforms)",Specialist,Professional Services,The user was trying to ensure that scientific proposals and research papers meet certain academic standards.,Moderate
3089,"review scripts or other production information to determine a story's locale or period, as well as the number of characters and required costumes.",Content Creator or Localization Specialist,"Analyze scripts and production information to determine the story's setting, character count, and costume requirements.","Various Production Facilities (e.g., Film Studios, TV Sets, etc.)",Specialist,Other Services,"To prepare for a script by determining key elements such as the story's setting, character count, and required costumes.",Moderate
3090,review selected tax returns to determine the nature and extent of audits to be performed on them.,Tax Auditor,Review selected tax returns to determine the nature and extent of audits to be performed on them.,"Office or at a desk within an office environment, possibly in conjunction with other offices dealing with similar tasks.",Specialist,Financial Activities,To identify tax returns that require further audit due to potential discrepancies or risks based on the review of selected tax filings.,Moderate
3091,review sets of photographs to select the best work.,Photography Editor,To select the best work from a set of photographs for potential use in marketing or publishing materials.,"Not specified, can be performed anywhere with access to digital photography tools and possibly physical photo collections if applicable.",Specialist,Information,"To curate a selection of photographs for potential use in marketing or publishing materials which may include advertising, editorial content, social media posts, etc.",Moderate
3092,"review software documentation to ensure technical accuracy, compliance, or completeness, or to mitigate risks.",Software Documentation Reviewer,"Ensure technical accuracy, compliance, or completeness of software documentation to mitigate risks.",Virtual (online platform for reviewing documents),Specialist,Information,To maintain the quality and reliability of software documentation within their organization,Moderate
3093,review subject matter of materials to be classified and select classification numbers and headings according to classification systems.,Classroom Teacher or Librarian,To review the subject matter of materials and select appropriate classification numbers and headings for categorization purposes.,School Library Classroom,Junior/Senior High School,Education and Health Services,To organize library resources effectively for students and teachers using a classification system.,Moderate
3094,review technical documents to ensure completeness and conformance to requirements.,Technical Document Reviewer,Ensure technical documents are complete and conform to requirements,Office/Workplace,Specialist,Manufacturing,To verify that all necessary information is present in the technical documents and that they meet the established standards.,Moderate
3095,"review time sheets, work charts, wage computation, and other information to detect and reconcile payroll discrepancies.",Payroll Administrator or Payroll Specialist,"Detect and reconcile payroll discrepancies in time sheets, work charts, wage computation, and other relevant information to ensure accuracy and fairness in employee compensation.","Office environment, typically within a company's Human Resources department or payroll division",Mid-level,Financial Activities,To identify and correct errors in the payroll system so that employees receive accurate wages and benefits according to their hours worked.,Moderate
3096,"review work done by others to check for correct spelling and grammar, ensure that company format policies are followed, and recommend revisions.",Editor or Quality Assurance,"To review work done by others for correct spelling and grammar, adhere to company format policies, and suggest revisions","Office Environment (e.g., corporate office)",Mid-Level,Professional Services,"The user is trying to ensure that work submitted by others adheres to correct spelling, grammar, and company formatting standards.",Moderate
3097,review work orders and discuss work with supervisors.,Worker or Team Member,Review work orders and discuss work with supervisors to ensure tasks are completed accurately and efficiently.,Office/Workplace,Mid-Level,Manufacturing,"To review and confirm work order details for accuracy and compliance, and discuss any issues or concerns with supervisors in a timely manner to improve workflow efficiency.",Moderate
3098,review work orders and procedural manuals and confer with vendors and design staff to resolve problems and modify design.,Engineering or Design Specialist,"Resolve problems and modify design through review of work orders, procedural manuals, vendor communication, and design staff input.",Design office or engineering department within a company,Specialist,Professional Services,To identify issues in the design process and implement changes as necessary to meet project requirements and specifications.,Moderate
3099,"review work orders, blueprints, specifications, or job samples to determine components, settings, and adjustments for cutting and slicing machines.",Production Technician,"Review work orders, blueprints, specifications, or job samples to determine components, settings, and adjustments for cutting and slicing machines.",Factory,Specialist,Manufacturing,To ensure the correct settings and adjustments are made for cutting and slicing machines based on provided work orders and specifications.,Moderate
3100,review work plans to schedule activities.,Project Manager or Operations Coordinator,Review work plans to schedule activities efficiently and effectively.,"Various locations depending on the company's structure (e.g., office, remote)",Mid-level,Manufacturing,To ensure that all planned activities are scheduled properly within their respective work plans to optimize productivity and efficiency.,Moderate
3101,"review work procedures and operational problems to determine ways to improve service, performance, or safety.",Operations Manager,"Identify ways to improve service, performance, or safety by reviewing work procedures and operational problems","Various locations depending on the organization's operations (e.g., office, factory)",Mid-level,Manufacturing,"The user is seeking to improve service quality, efficiency, and safety in their operations.",Moderate
3102,"review written, audio, or video copy and correct errors in content, grammar, or punctuation, following prescribed editorial style and formatting guidelines.",Editor,"Correct errors in content, grammar, or punctuation following prescribed editorial style and formatting guidelines for written, audio, or video copy.","Various locations including offices, online platforms, depending on the medium of the copy (written, audio, or video).",Specialist,Information,To ensure that all content is error-free and adheres to a specific style guide for clarity and professionalism.,Moderate
3103,"review, approve, or interpret genetic laboratory results.",Genetic Laboratory Technician or Genetic Counselor,"Review, approve, or interpret genetic laboratory results for patient cases.",Laboratory environment in a hospital or research facility,Specialist,Health Care,To ensure accurate and appropriate interpretation of genetic test results to guide medical decision-making and patient care.,Moderate
3104,"review, classify, and record survey data in preparation for computer analysis.",Data Analyst,"To review, classify, and record survey data for computer analysis.",Office or Online Environment (depending on the context of the task),Specialist,Information,To prepare survey data for further computer-based analysis as part of a research project or quality control process.,Moderate
3105,"review, evaluate, accept, and coordinate completion of work bid from contractors.",Project Manager,"Review, evaluate, accept, and coordinate completion of work bids from contractors for a project.",Office or Project Management Suite,Mid-level,Professional Services,To manage the procurement and execution process of construction projects by reviewing contractor proposals and ensuring their acceptance before proceeding with the work.,Moderate
3106,"review, evaluate, and approve specifications for issuing and awarding bids.",Bid Reviewer,"To review, evaluate, and approve specifications for issuing and awarding bids.","Office or within a company's bid process system (e.g., intranet platform)",Specialist,Professional Services,To ensure that the bidding process is compliant with regulations and meets the requirements of potential bidders.,Moderate
3107,"revise existing marketing plans or campaigns for green products, technologies, or services.",Marketing Specialist,"To revise existing marketing plans or campaigns for green products, technologies, or services.",Diverse (can be performed in various settings including offices and online platforms),Specialist,Financial Activities,The user was trying to ensure that existing marketing strategies for environmentally friendly products are updated and optimized for better engagement and impact.,Moderate
3108,"revise programs or tapes to eliminate errors, and retest programs to check that problems have been solved.",Program Developer or Quality Assurance Tester,"Revise programs or tapes to eliminate errors, and retest programs to ensure problems are resolved.",Computer environment (office setting),Mid-level,Manufacturing,To fix any programming issues in a software application and verify the solution through testing.,Moderate
3109,revise work to meet editorial approval or to fit time or space requirements.,Editor or Content Creator,Revise work to meet editorial approval or to fit time or space requirements.,"Various locations depending on the context (office, online platforms, etc.)",Mid-level,Other Services,The user was trying to ensure their content aligns with editorial standards and fits within specified time or space constraints.,Moderate
3110,"revise written material to meet personal standards and to satisfy needs of clients, publishers, directors, or producers.",Writer or Content Creator,"To revise written material to meet personal standards and satisfy the needs of various stakeholders (clients, publishers, directors, or producers)","Various Locations including offices, online platforms, etc.",Specialist,Professional Services,"The user was trying to ensure that written material aligns with personal standards and meets the requirements of various clients, publishers, directors, or producers.",Moderate
3111,"rewrite original musical scores in different musical styles by changing rhythms, harmonies, or tempos.",Musical Score Rewriter,"To rewrite original musical scores in different musical styles by changing rhythms, harmonies, or tempos.","Not specified (can be at home, studio, etc.)",Specialist,Manufacturing,To create new interpretations of original musical scores in various styles for artistic or production purposes.,Moderate
3112,"route or reroute drivers in real time with remote route navigation software, satellite linkup systems, or global positioning systems (gps) to improve operational efficiencies.",Driver,"Route or reroute drivers in real time with remote route navigation software, satellite linkup systems, or global positioning systems (GPS) to improve operational efficiencies.","Various transportation contexts such as delivery services, fleet management systems, etc.",Mid-level,Transportation,To optimize the routes of drivers in real time for better efficiency and cost savings through technological means like GPS navigation systems.,Moderate
3113,"sample and test air to identify gasses, such as bromine, ozone, or sulfur dioxide, or particulates, such as mold, dust, or allergens.",Environmental Analyst,Identify specific gases and particulates in the air to assess environmental quality and safety standards,Indoor or Outdoor Environment (depending on testing conditions),Specialist,Manufacturing,"The user wants to ensure compliance with health, safety, and environmental regulations by analyzing air quality for potential harmful substances.",Moderate
3114,scan or read incoming materials to determine how and where they should be classified or filed.,Administrative Assistant,To scan or read incoming materials and determine their classification for filing purposes.,Office,Mid-level,Retail Trade,To ensure that all incoming documents are appropriately classified and filed to maintain organized records in the office environment.,Moderate
3115,schedule and conduct closings of mortgage transactions.,Mortgage Broker/Loan Officer,Schedule and conduct mortgage closings to complete transactions.,"Office environment, possibly including meetings with clients at their homes or other locations as needed for the closing process.",Specialist/Senior Level,Financial Activities,The user is trying to facilitate mortgage transactions by scheduling and executing closings.,Moderate
3116,"schedule and confirm appointments for clients, customers, or supervisors.",Appointment Scheduler,"Schedule and confirm appointments for clients, customers, or supervisors.","Various locations including offices, meeting rooms, virtual platforms (if scheduling online)",Specialist,Wholesale Trade,"To ensure timely communication with clients, customers, and/or supervisors for scheduled appointments, which contributes to maintaining a business's operational efficiency.",Moderate
3117,"schedule and confirm patient diagnostic appointments, surgeries, or medical consultations.",Medical Scheduler,"Schedule and confirm patient diagnostic appointments, surgeries, or medical consultations.",Hospital or Medical Clinic,Specialist,Health Services,To ensure that patients receive timely and appropriate medical care by scheduling their appointments efficiently.,Moderate
3118,schedule and maintain regular office hours to meet with students.,Academic Advisor,Schedule and maintain regular office hours to meet with students for academic support or guidance.,Office,Mid-level,Education and Health Services,The user is trying to provide ongoing support to students by scheduling available times for them to receive assistance in their studies.,Moderate
3119,schedule appointments and maintain and update appointment calendars.,Appointment Scheduler,Schedule appointments and maintain/update appointment calendars.,"Various office settings, including businesses and healthcare facilities, depending on the specific context of the task.",Specialist or Mid-Level,Professional Services,The user is attempting to organize their schedule for appointments efficiently and ensure that all relevant calendars are updated accordingly.,Moderate
3120,schedule appointments for patients.,Medical Scheduler,Schedule appointments for patients efficiently and accurately.,Hospital or Clinic,Mid-level,Health Care and Social Assistance,To manage patient appointment scheduling to ensure a smooth and efficient service delivery in the healthcare setting.,Moderate
3121,"schedule appointments, prepare bills and receive payment for dental services, complete insurance forms, and maintain records, manually or using computer.",Dental Assistant,Perform administrative and clinical duties in a dental office to ensure smooth operation of the practice.,Dental Office,Professional Services,Health Services,"The user was trying to schedule appointments, prepare bills and receive payment for dental services, complete insurance forms, and maintain records in a dental office.",Moderate
